,Unnamed: 0,Unnamed: 0.1,Hot and Soupy Start to Week in Baltimore,Unnamed: 1,Unnamed: 2,headline,date
0,0.0,0.0,Tropical Troubles for the Olympics in Tokyo,,,,
1,1.0,1.0,Man shot to death at Royal Farms in Baltimore County,,,,
2,2.0,2.0,SquashWise to redevelop former Greyhound terminal to help students-athletes succeed,,,,
3,3.0,3.0,Police Identify Victims In Triple Fatal Crash In Pasadena,,,,
4,4.0,4.0,Baltimore City Fire Firefighter Released From Hospital,,,,
5,5.0,5.0,Gwynn Oak man found shot dead in Pikesville,,,,
6,6.0,6.0,"""Free Sweat"" Four Mile Walk/Run Encourages Fitness In Northeast Baltimore",,,,
7,7.0,7.0,,"Police report shows neighbors heard children's screams; what to do, call 911?",,,
8,8.0,8.0,,Summery Feel for Final August Weekend in Maryland,,,
9,9.0,9.0,,"""It was miserable"": Parents angry over lack of A/C in school, days before students return",,,
10,10.0,10.0,,Hurricane Ida Set to Hit Louisiana On Anniversary of Katrina With Impacts for Maryland Too,,,
11,11.0,11.0,,High court could determine DC sniper's fate,,,
12,12.0,12.0,,Hundreds of Frederick County school students in quarantine after first week of school,,,
13,13.0,13.0,,Weather Alert Friday For Severe Storms and Flash Flooding,,,
14,14.0,14.0,,Ida to strike Louisiana on Katrina anniversary; Maryland impacts possible,,,
15,15.0,15.0,,BMW Championship could serve as jumping off point for future events in Baltimore,,,
16,16.0,16.0,,MASKS IN SCHOOLS | Carroll County School Board 'disappointed' by proposed mask rule,,,
17,17.0,17.0,,,"COVID-19 in Maryland| 1,708 new cases in 24 hours",,
18,18.0,18.0,,,"Police report shows neighbors heard children's screams; what to do, call 911?",,
19,19.0,19.0,,,Summery Feel for Final August Weekend in Maryland,,
20,20.0,20.0,,,"""It was miserable"": Parents angry over lack of A/C in school, days before students return",,
21,21.0,21.0,,,Hurricane Ida Set to Hit Louisiana On Anniversary of Katrina With Impacts for Maryland Too,,
22,22.0,22.0,,,High court could determine DC sniper's fate,,
23,23.0,23.0,,,Hundreds of Frederick County school students in quarantine after first week of school,,
24,24.0,24.0,,,Weather Alert Friday For Severe Storms and Flash Flooding,,
25,25.0,25.0,,,Ida to strike Louisiana on Katrina anniversary; Maryland impacts possible,,
26,26.0,26.0,,,BMW Championship could serve as jumping off point for future events in Baltimore,,
27,27.0,0.0,,,,"Woman shot in Southeast Baltimore, police say",2021-08-28T16:28:51+00:00
28,28.0,1.0,,,,"COVID-19 in Maryland| 1,708 new cases in 24 hours",2021-08-28T16:28:51+00:00
29,29.0,2.0,,,,"Police report shows neighbors heard children's screams; what to do, call 911?",2021-08-28T16:28:51+00:00
30,30.0,3.0,,,,Summery Feel for Final August Weekend in Maryland,2021-08-28T16:28:51+00:00
31,31.0,4.0,,,,"""It was miserable"": Parents angry over lack of A/C in school, days before students return",2021-08-28T16:28:51+00:00
32,32.0,5.0,,,,Hurricane Ida Set to Hit Louisiana On Anniversary of Katrina With Impacts for Maryland Too,2021-08-28T16:28:51+00:00
33,33.0,6.0,,,,High court could determine DC sniper's fate,2021-08-28T16:28:51+00:00
34,34.0,7.0,,,,Hundreds of Frederick County school students in quarantine after first week of school,2021-08-28T16:28:51+00:00
35,35.0,8.0,,,,Weather Alert Friday For Severe Storms and Flash Flooding,2021-08-28T16:28:51+00:00
36,36.0,9.0,,,,Ida to strike Louisiana on Katrina anniversary; Maryland impacts possible,2021-08-28T16:28:51+00:00
37,0.0,,,,,"Woman shot in Southeast Baltimore, police say",2021-08-28T16:40:05+00:00
38,1.0,,,,,"COVID-19 in Maryland| 1,708 new cases in 24 hours",2021-08-28T16:40:05+00:00
39,2.0,,,,,"Police report shows neighbors heard children's screams; what to do, call 911?",2021-08-28T16:40:05+00:00
40,3.0,,,,,Summery Feel for Final August Weekend in Maryland,2021-08-28T16:40:05+00:00
41,4.0,,,,,"""It was miserable"": Parents angry over lack of A/C in school, days before students return",2021-08-28T16:40:05+00:00
42,5.0,,,,,Hurricane Ida Set to Hit Louisiana On Anniversary of Katrina With Impacts for Maryland Too,2021-08-28T16:40:05+00:00
43,6.0,,,,,High court could determine DC sniper's fate,2021-08-28T16:40:05+00:00
44,7.0,,,,,Hundreds of Frederick County school students in quarantine after first week of school,2021-08-28T16:40:05+00:00
45,8.0,,,,,Weather Alert Friday For Severe Storms and Flash Flooding,2021-08-28T16:40:05+00:00
46,9.0,,,,,Ida to strike Louisiana on Katrina anniversary; Maryland impacts possible,2021-08-28T16:40:05+00:00
0,,,,,,"Woman shot in Southeast Baltimore, police say",2021-08-28T16:40:05+00:00
1,,,,,,"COVID-19 in Maryland| 1,708 new cases in 24 hours",2021-08-28T16:40:05+00:00
2,,,,,,"Police report shows neighbors heard children's screams; what to do, call 911?",2021-08-28T16:40:05+00:00
3,,,,,,Summery Feel for Final August Weekend in Maryland,2021-08-28T16:40:05+00:00
4,,,,,,"""It was miserable"": Parents angry over lack of A/C in school, days before students return",2021-08-28T16:40:05+00:00
5,,,,,,Hurricane Ida Set to Hit Louisiana On Anniversary of Katrina With Impacts for Maryland Too,2021-08-28T16:40:05+00:00
6,,,,,,High court could determine DC sniper's fate,2021-08-28T16:40:05+00:00
7,,,,,,Hundreds of Frederick County school students in quarantine after first week of school,2021-08-28T16:40:05+00:00
8,,,,,,Weather Alert Friday For Severe Storms and Flash Flooding,2021-08-28T16:40:05+00:00
9,,,,,,Ida to strike Louisiana on Katrina anniversary; Maryland impacts possible,2021-08-28T16:40:05+00:00
